created_at,lat,lon,trap_id,males,females,note,trap_visit_date
2019-08-21 12:26:33.290000+10:00,,,29,1,1,,2019-08-21
2019-08-21 12:27:01.583000+10:00,,,30,1,2,,2019-08-21
2019-08-21 12:27:29.813000+10:00,,,31,1,1,,2019-08-21
2019-08-21 12:27:57.490000+10:00,,,32,0,2,,2019-08-21
2019-08-21 12:28:23.638000+10:00,,,33,0,1,,2019-08-21
2019-08-21 12:28:51.056000+10:00,,,34,1,1,,2019-08-21
2019-08-21 12:29:19.670000+10:00,,,35,1,2,,2019-08-21
2019-08-21 12:29:51.329000+10:00,,,36,0,3,,2019-08-21
2019-08-21 12:30:19.840000+10:00,,,37,2,1,,2019-08-21
2019-08-21 12:30:45.362000+10:00,,,38,0,2,,2019-08-21
2019-08-21 12:31:14.279000+10:00,,,39,2,2,,2019-08-21
2019-08-21 12:31:41.298000+10:00,,,40,3,5,,2019-08-21
2019-08-23 14:12:03.390000+10:00,,,40,5,4,,2019-08-23
2019-08-23 14:12:52.539000+10:00,,,39,1,1,,2019-08-23
2019-08-23 14:16:37.855000+10:00,,,38,0,1,lure,2019-08-23
2019-08-23 14:18:19.232000+10:00,,,37,0,1,,2019-08-23
2019-08-23 14:19:07.297000+10:00,,,36,1,1,,2019-08-23
2019-08-23 14:20:06.864000+10:00,,,35,1,1,,2019-08-23
2019-08-23 14:21:15.618000+10:00,,,34,2,4,,2019-08-23
2019-08-23 14:22:54.065000+10:00,,,33,2,1,,2019-08-23
2019-08-23 14:23:43.504000+10:00,,,32,2,0,,2019-08-23
2019-08-23 14:24:55.244000+10:00,,,31,3,3,,2019-08-23
2019-08-23 14:28:51.278000+10:00,,,1,0,0,,2019-08-23
2019-08-23 14:30:00.212000+10:00,,,2,2,0,,2019-08-23
2019-08-23 14:31:50.319000+10:00,,,3,1,1,,2019-08-23
2019-08-23 14:32:43.298000+10:00,,,4,3,0,,2019-08-23
2019-08-23 14:33:46.690000+10:00,,,5,0,0,,2019-08-23
2019-08-23 14:34:59.002000+10:00,,,6,1,2,,2019-08-23
2019-08-23 14:36:07.660000+10:00,,,7,1,0,,2019-08-23
2019-08-23 14:37:10.194000+10:00,,,8,2,1,,2019-08-23
2019-08-23 14:45:37.048000+10:00,,,9,0,4,,2019-08-23
2019-08-23 14:47:33.773000+10:00,,,10,0,1,,2019-08-23
2019-08-23 14:48:31.659000+10:00,,,11,1,0,,2019-08-23
2019-08-23 14:49:32.271000+10:00,,,12,1,2,,2019-08-23
2019-08-23 14:50:20.153000+10:00,,,13,0,0,,2019-08-23
2019-08-23 14:51:39.439000+10:00,,,14,1,0,,2019-08-23
